icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,32389,Klyuchi,,RU,56.32,160.83,28,2,32389
UHPB,,32618,Nikolskoye,,RA,55.20,165.98,14,2,32618
UMGG,GME,33041,Gomel,,BY,52.45,31.00,127,2,33041
,,03354,Nottingham,,GB,53.00,-1.25,117,2,3354
UKLN,CWC,33658,Chernovsty,,UA,48.37,25.90,246,2,33658
,,34009,Kursk,,RU,51.77,36.17,247,2,34009
UWSS,RTW,34172,Saratov,,RU,51.57,46.05,156,2,34172
,,34247,Kalach,,RU,50.42,41.05,93,2,34247
,,34858,Divnoye,,RU,45.92,43.35,87,2,34858
,,35121,Orenburg,,RU,51.78,55.22,109,2,35121
,,35394,Karagandy,,KZ,49.80,73.13,553,2,35394
UAKD,DZN,35671,Zhezkazgan,,KZ,47.80,67.72,345,2,35671
,,35700,Atyrau,,KZ,47.02,51.85,-15,2,35700
UASP,PWQ,36003,Pavlodar,,KZ,52.28,76.95,123,2,36003
,,36096,Kyzyl,,RU,51.67,94.38,629,2,36096
,,03808,Camborne,,GB,50.22,-5.32,87,2,3808
,,38341,Taraz,,KZ,42.85,71.38,653,2,38341
,,03882,Herstmonceux,,GB,50.90,0.32,54,2,3882
,,03918,Castor Bay,,IE,54.30,-6.19,15,2,3918
,,3953,Valentia Observatory,,IE,51.93,-10.25,9,2,3953
,,40179,Biet Dagan,,IL,32.00,34.82,30,2,40179
,,41977,Chittagong,,BD,22.35,91.82,34,2,41977
,,42027,Srinagar,,IN,34.08,74.83,1587,2,42027
,,42101,Patiala,,IN,30.33,76.47,251,2,42101
,,42874,Pbo Raipur,,IN,21.22,81.67,298,2,42874
,,43041,Jagdalpur,,IN,19.08,82.03,553,2,43041
,,43150,Vishakhapatnam,,IN,17.70,83.30,66,2,43150
,,43192,Panjim,,IN,15.48,73.82,60,2,43192
,,43285,Mangaluru,,IN,12.95,74.83,31,2,43285
,,43295,Bangalore,,IN,12.97,77.58,921,2,43295
,,43311,Amini Divi,,IN,11.12,72.73,4,2,43311
,,43369,Minicoy Island,,IN,8.30,73.15,2,2,43369
,,43371,Thiruvananthapuram,,IN,8.48,76.95,64,2,43371
,,44231,Muren,,MN,49.63,100.17,1288,2,44231
ZMUB,ULN,44292,Ulaanbaatar,,MN,47.93,106.98,1313,2,44292
VHHH,HKG,45004,Hong Kong,,HK,22.32,114.17,66,2,45004
,,47102,CHONGONG-NI,,KO,38.03,127.15,70,2,47102
,,47138,Pohang,,KO,36.03,129.38,6,2,47138
RKPM,,47185,Mosulpo,,KO,33.28,126.17,73,2,47185
,,47401,Wakkanai,,JP,45.42,141.68,11,2,47401
,,47412,Sapporo,,JP,43.05,141.33,19,2,47412
,,47582,Akita,,JP,39.72,140.10,21,2,47582
,,47600,Wajima,,JP,37.38,136.90,14,2,47600
,,47646,Tateno,,JP,36.05,140.13,31,2,47646
,,47678,Hachijojima,,JP,33.12,139.78,80,2,47678
,,47778,Shionomisaki,,JP,33.45,135.77,75,2,47778
,,47807,Fukuoka,,JP,33.58,130.38,14,2,47807
,,47827,Yoshino,,JP,31.63,130.58,31,2,47827
,,47909,Naze Funchatoge,,JP,28.38,129.55,295,2,47909
,,48650,Sepang,,MY,2.73,101.70,17,2,48650
,,50527,Hailar,,CN,49.22,119.75,611,2,50527
,,50557,Nenjiang,,CN,49.17,125.23,243,2,50557
,,50774,Yichun,,CN,47.72,128.90,232,2,50774
,,50953,Harbin,,CN,45.75,126.77,143,2,50953
,,51076,Altay,,CN,47.73,88.08,737,2,51076
,,51463,Urumqi,,CN,43.78,87.62,919,2,51463
,,51644,Kuqa,,CN,41.72,82.95,1100,2,51644
,,51777,Ruoqiang,,CN,39.03,88.17,889,2,51777
,,51839,Niya,,CN,37.07,82.77,1410,2,51839
,,52267,Ejin Qi,,CN,41.95,101.07,941,2,52267
,,52323,Mazongshanzhen,,CN,41.80,97.03,1770,2,52323
,,52418,Dunhuang,,CN,40.15,94.68,1140,2,52418
,,52681,Minqin,,CN,38.63,103.08,1367,2,52681
,,52818,Golmud,,CN,36.42,94.90,2809,2,52818
,,52836,Qagan Us,,CN,36.30,98.10,3192,2,52836
,,52983,Yu Zhong,,CN,35.87,104.15,1875,2,52983
,,53068,Erenhot,,CN,43.65,112.00,966,2,53068
,,53513,Linhe,,CN,40.77,107.40,1041,2,53513
,,53915,Pingliang,,CN,35.55,106.67,1348,2,53915
,,54102,Xilin Gol,,CN,43.95,116.07,991,2,54102
,,54135,Tongliao,,CN,43.60,122.27,180,2,54135
,,54218,Chifeng,,CN,42.27,118.97,572,2,54218
,,54292,Yanji,,CN,42.88,129.47,178,2,54292
,,54374,Linjiang,,CN,41.72,126.92,333,2,54374
,,55299,Nagqu,,CN,31.48,92.07,4508,2,55299
,,56029,Yushu,,CN,33.02,97.02,3682,2,56029
,,56080,Hezuo,,CN,34.97,102.90,2910,2,56080
,,56137,Qamdo,,CN,31.15,97.17,3307,2,56137
,,56146,Garze,,CN,31.62,100.00,3394,2,56146
,,56571,Xichang,,CN,27.90,102.27,1599,2,56571
,,56691,Weining,,CN,26.87,104.28,2236,2,56691
,,56739,Tengchong,,CN,25.03,98.48,1649,2,56739
,,56964,Simao,,CN,22.77,100.98,1303,2,56964
,,56985,Mengzi,,CN,23.38,103.38,1302,2,56985
,,57127,Hanzhong,,CN,33.07,107.03,509,2,57127
,,57178,Nanyang,,CN,33.02,112.53,131,2,57178
,,57447,Enshi,,CN,30.28,109.47,458,2,57447
,,57461,Yichang,,CN,30.70,111.28,134,2,57461
,,57749,Huaihua,,CN,27.57,110.00,261,2,57749
,,57972,Chenzhou,,CN,25.82,113.02,185,2,57972
,,58027,Xuzhou,,CN,34.28,117.15,42,2,58027
,,58150,Sheyang,,CN,33.77,120.25,7,2,58150
,,58203,Fuyang,,CN,32.93,115.83,39,2,58203
,,58362,Shanghai,,CN,31.40,121.47,4,2,58362
,,58424,Anqing,,CN,30.52,117.03,20,2,58424
,,58633,Qu Xian,,CN,28.97,118.87,71,2,58633
,,58665,Luqiao,,CN,28.65,120.08,9,2,58665
,,58725,Shaowu,,CN,27.33,117.43,192,2,58725
,,58968,Taipei,,TW,25.03,121.53,9,2,58968
,,59211,Bose,,CN,23.92,106.62,242,2,59211
,,59265,Wuzhou,,CN,23.48,111.30,120,2,59265
,,59280,Ping Yuan,,CN,23.67,113.05,19,2,59280
,,59981,Xisha Island,,CN,16.83,112.33,5,2,59981
,,06011,Thorshavn,,FO,62.02,-6.77,55,2,6011
,,60680,Tamanrasset,,DZ,22.78,5.52,1378,2,60680
,,07145,Trappes,,FR,48.77,2.02,168,2,7145
,,83566,Confis,,BR,-19.62,-43.57,827,2,83566
NZSP,,89009,Amundsen-Scott,,AQ,-90.00,0.00,2830,2,89009
,,89512,Novolazarevskaja,,AQ,-70.77,11.83,102,2,89512
,,89532,Syowa,,AQ,-69.00,39.58,21,2,89532
,,89571,Davis,,AQ,-68.57,77.95,13,2,89571
,,89592,Mirnyy,,AQ,-66.55,93.02,30,2,89592
,,89611,Casey,,AQ,-66.28,110.52,41,2,89611
,,89642,Dumont D'Urville,,AQ,-66.67,140.02,43,2,89642
,,89664,McMurdo,,AQ,-77.85,166.67,34,2,89664
,,91925,Atuona,,PF,-9.80,-139.03,52,2,91925
,,91948,Rikitea,,PF,-23.13,-134.97,89,2,91948
,,94299,Willis Island,,AU,-16.30,149.98,9,2,94299
,,94638,Esperance,,AU,-33.82,121.88,26,2,94638
YLHI,LDH,94995,Lord Howe Island,,AU,-31.53,159.07,6,2,94995
YMOR,MRZ,95527,Moree,,AU,-29.50,149.83,214,2,95527
KABQ,ABQ,72365,Albuquerque,NM,US,35.05,-106.62,1618,2,ABQ
KABR,ABR,72659,Aberdeen,SD,US,45.45,-98.42,397,2,ABR
KAMA,AMA,72363,Amarillo,TX,US,35.23,-101.70,1093,2,AMA
KAPX,APX,72634,Gaylord/Alpena,MI,US,44.9,-84.7166666667,446,2,APX
BGAM,,04360,Angmagssalik,,GL,65.60,-37.63,50,2,BGAM
BGBW,,04270,Narssarssuaq,,GL,61.18,-45.43,4,2,BGBW
BGDH,,04320,Danmarkshavn,,GL,76.77,-18.67,12,2,BGDH
BGEM,,04220,Aasiaat,,GL,68.70,-52.75,40,2,BGEM
BGSC,,04339,Scoresbysund,,GL,70.48,-21.97,66,2,BGSC
BIKF,,04018,Keflavik,,IS,63.97,-22.60,54,2,BIKF
KBIS,BIS,72764,Bismarck,ND,US,46.78,-100.75,505,2,BIS
KBMX,BMX,72230,Birmingham,AL,US,33.1666666667,-86.7666666667,197,2,BMX
KBNA,BNA,72327,Nashville,TN,US,36.12,-86.68,210,2,BNA
KBOI,BOI,72681,Boise,ID,US,43.58,-116.22,875,2,BOI
KBRO,BRO,72250,Brownsville,TX,US,25.90,-97.43,7,2,BRO
KBUF,BUF,72528,Buffalo,NY,US,42.94,-78.73,211,2,BUF
KCAR,CAR,72712,Caribou,ME,US,46.88,-68.02,191,2,CAR
KCHH,CHH,74494,Chatham,MA,US,41.68,-69.97,16,2,CHH
KCHS,CHS,72208,Charleston,SC,US,32.91,-80.03,13,2,CHS
KCRP,CRP,72251,Corpus Christi,TX,US,27.77,-97.50,14,2,CRP
DAAG,,60390,Dar-El-Beida,,DZ,36.72,3.25,25,2,DAAG
KDDC,DDC,72451,Dodge City,KS,US,37.78,-99.97,789,2,DDC
DIAP,,65578,Abidjan,,CI,5.25,-3.93,8,2,DIAP
KDNR,DNR,72469,Denver,CO,US,39.75,-104.866666667,1608,2,DNR
KDRT,DRT,72261,Del Rio,TX,US,29.38,-100.92,313,2,DRT
KDTX,DTX,72632,Detroit,MI,US,42.71,-83.47,327,2,DTX
KDVN,DVN,74455,Davenport,IA,US,41.62,-90.58,230,2,DVN
EDZE,,10410,Essen/Mulheim,,DE,51.40,6.97,153,2,EDZE
EFSO,SOT,02836,Sodankyla,,FI,67.37,26.65,178,2,EFSO
EGYP,MPN,88889,Mount Pleasant,,FK,-51.82,-58.45,73,2,EGYP
ENAN,ANX,01010,Andenes,,NO,69.30,16.15,14,2,ENAN
ENJA,,01001,Jan Mayen,,NO,70.93,-8.67,9,2,ENJA
ENOL,OLA,01241,Orland,,NO,63.70,9.60,7,2,ENOL
ENZV,SVG,01415,Stavanger,,NO,58.87,5.67,33,2,ENZV
KEPZ,EPZ,72364,El Paso,TX,US,31.87,-106.7,1251,2,EPZ
ESQV,,02591,Visby,,SE,57.65,18.35,45,2,ESQV
ETGB,,10238,Bergen,,DE,52.82,9.93,69,2,ETGB
ETGI,,10618,Idar-Oberstein,,DE,49.70,7.33,376,2,ETGI
ETGK,,10771,Kuemmersbruck,,DE,49.43,11.90,419,2,ETGK
KEYW,EYW,72201,Key West,FL,US,24.55,-81.75,5,2,EYW
FACT,CPT,68816,Cape Town,,ZA,-33.98,18.60,42,2,FACT
FAGE,,68906,Gough Island,,ZA,-40.35,-9.88,54,2,FAGE
FAUP,UTN,68424,Upington,,ZA,-28.40,21.27,836,2,FAUP
FCOU,OUE,64458,Ouesso,,CG,1.62,16.05,352,2,FCOU
FCPP,PNR,64400,Pointe-Noire,,CG,-4.82,11.90,17,2,FCPP
KFFC,FFC,72215,Peachtree City,GA,US,33.35,-84.56,262,2,FFC
KFGZ,FGZ,72376,Flagstaff,AZ,US,35.23,-111.82,2192,2,FGZ
FKKD,DLA,64910,Douala,,CM,4.00,9.70,9,2,FKKD
KFWD,FWD,72249,Fort Worth,TX,US,32.8166666667,-97.2833333333,196,2,FWD
GABS,BKO,61291,Bamako,,ML,12.53,-7.95,381,2,GABS
KGGW,GGW,72768,Glasgow,MT,US,48.21,-106.63,694,2,GGW
KGJT,GJT,72476,Grand Junction,CO,US,39.12,-108.53,1475,2,GJT
GMMC,CAS,60155,Casablanca,,MA,33.57,-7.67,62,2,GMMC
GOOY,DKR,61641,Dakar,,SN,14.73,-17.50,24,2,GOOY
KGRB,GRB,72645,Green Bay,WI,US,44.48,-88.13,208,2,GRB
KGSO,GSO,72317,Greensboro,NC,US,36.01,-79.95,275,2,GSO
KGYX,GYX,74389,Gray,ME,US,43.9,-70.25,125,2,GYX
HKNC,,63741,Nairobi,,KE,-1.30,36.75,1798,2,HKNC
KIAD,IAD,72403,Washington/Dulles,VA,US,38.96,-77.45,93,2,IAD
KILN,ILN,72426,Wilmington,OH,US,39.43,-83.8,322,2,ILN
KILX,ILX,74560,Lincoln,IL,US,40.15,-89.3333333333,177,2,ILX
KINL,INL,72747,International Falls,MN,US,48.58,-93.38,360,2,INL
KJAN,JAN,72235,Jackson,MS,US,32.33,-90.08,91,2,JAN
KJAX,JAX,72206,Jacksonville,FL,US,30.4941,-81.6879,10,2,JAX
KLBF,LBF,72562,North Platte,NE,US,41.14,-100.68,847,2,LBF
KLCH,LCH,72240,Lake Charles,LA,US,30.12,-93.22,4,2,LCH
LDDD,,14240,Zagreb,,HR,45.82,16.03,123,2,LDDD
LFBD,BOD,07510,Bordeaux,,FR,44.83,-0.70,45,2,LFBD
LFKJ,AJA,07761,Ajaccio,,FR,41.92,8.80,5,2,LFKJ
LFME,,07645,Nimes,,FR,43.87,4.40,60,2,LFME
LFRB,BES,07110,Brest,,FR,48.45,-4.42,99,2,LFRB
LGIR,HER,16754,Heraklion,,GR,35.33,25.18,39,2,LGIR
LGTS,SKG,16622,Thessaloniki,,GR,40.52,22.97,4,2,LGTS
LHUD,,12982,Szeged,,HU,46.25,20.10,84,2,LHUD
LIBR,BDS,16320,Brindisi,,IT,40.65,17.95,10,2,LIBR
LICT,TPS,16429,Trapani,,IT,37.92,12.50,14,2,LICT
LIML,LIN,16080,Milano,,IT,45.43,9.28,103,2,LIML
LIPD,UDN,16044,Udine,,IT,46.03,13.18,92,2,LIPD
LIRE,,16245,Pomezia,,IT,41.65,12.43,12,2,LIRE
KLKN,LKN,72582,Elko,NV,US,40.8666666667,-115.716666667,1608,2,LKN
,LMN,74647,Lamont Profiler,OK,US,36.6833333333,-97.4666666667,306,2,LMN
LRBS,BBU,15420,Bucharest,,RO,44.50,26.13,91,2,LRBS
LSMP,,06610,Payerne,,CH,46.82,6.95,490,2,LSMP
LTBM,,17240,Isparta,,TR,37.75,30.55,997,2,LTBM
KLZK,LZK,72340,Little Rock,AR,US,34.84,-92.25,173,2,LZK
KMAF,MAF,72265,Midland,TX,US,31.933,-102.2,874,2,MAF
KMFL,MFL,72202,Miami,FL,US,25.75,-80.3666666667,5,2,MFL
KMFR,MFR,72597,Medford,OR,US,42.38,-122.87,396,2,MFR
KMHX,MHX,72305,Morehead/Newport,NC,US,34.7666666667,-76.8666666667,9,2,MHX
KMPX,MPX,72649,Twin Cities/Chanhassen,MN,US,44.85,-93.5666666667,288,2,MPX
NCRG,RAR,91843,Rarotonga,,CK,-21.20,-159.82,7,2,NCRG
NFFN,NAN,91680,Nadi,,FJ,-17.75,177.45,18,2,NFFN
NGTA,TRW,91610,Tarawa,,KI,1.35,172.92,4,2,NGTA
KNKX,NKX,72293,San Diego,CA,US,32.88,-117.15,146,2,NKX
NTAA,PPT,91938,Tahiti Island,,PF,-17.55,-149.62,2,2,NTAA
NWWN,,91592,Noumea,,NC,-22.27,166.45,72,2,NWWN
KOAK,OAK,72493,Oakland,CA,US,37.7,-122.22,26,2,OAK
OAKB,KBL,40948,Kabul,,AH,34.55,69.22,1791,2,OAKB
KOAX,OAX,72558,Omaha/Valley,NE,US,41.3166666667,-96.3666666667,350,2,OAX
OEAB,AHB,41112,Abha,,SA,18.23,42.65,2084,2,OEAB
OEHL,HAS,40394,Ha'il,,SA,27.52,41.73,1013,2,OEHL
OEJN,JED,41024,Jeddah,,SA,21.67,39.15,17,2,OEJN
OEMA,MED,40430,Madinah,,SA,24.55,39.72,636,2,OEMA
OEPA,AQI,40373,Al Qaysumah,,SA,28.33,46.12,355,2,OEPA
OERK,RUH,40437,Riyadh,,SA,24.93,46.72,612,2,OERK
OETB,TUU,40375,Tabuk,,SA,28.37,36.58,770,2,OETB
OICC,KSH,40766,Kermanshah,,IR,34.27,47.12,1322,2,OICC
OIFM,IFM,40800,Esfahan,,IR,32.62,51.67,1590,2,OIFM
OIII,THR,40754,Tehran,,IR,35.68,51.35,1191,2,OIII
OIKB,BND,40875,Bandar Abbas,,IR,27.22,56.37,10,2,OIKB
OIMM,MHD,40745,Mashhad,,IR,36.27,59.63,980,2,OIMM
OISS,SYZ,40848,Shiraz,,IR,29.53,52.58,1491,2,OISS
OKBK,KWI,40582,Kuwait,,KW,29.22,47.98,55,2,OKBK
KOKX,OKX,72501,Brookhaven/Upton,NY,US,40.8666666667,-72.8666666667,26,2,OKX
OMAA,AUH,41217,Abu Dhabi,,AE,24.43,54.65,27,2,OMAA
OOMS,MCT,41256,Muscat,,OM,23.58,58.28,17,2,OOMS
OOSA,SLL,41316,Salalah,,OM,17.03,54.08,17,2,OOSA
KOTX,OTX,72786,Spokane,WA,US,47.68,-117.63,727,2,OTX
KOUN,OUN,72357,Norman,OK,US,35.246,-97.472,357,2,OUN
KPIT,PIT,72520,Pittsburgh,PA,US,40.51,-80.22,357,2,PIT
PKMJ,MAJ,91376,Majuro,,MH,7.08,171.38,3,2,PKMJ
PTKK,TKK,91334,Weno Island,,FM,7.47,151.85,2,2,PTKK
PTPN,PNI,91348,Ponape Island,,FM,6.97,158.22,46,2,PTPN
PTRO,ROR,91408,Palau Island,,FM,7.33,134.48,33,2,PTRO
PTYA,YAP,91413,Yap Island,,FM,9.48,138.08,17,2,PTYA
KREV,REV,72489,Reno,NV,US,39.5666666667,-119.8,1516,2,REV
KRIW,RIW,72672,Riverton,WY,US,43.05,-108.45,1697,2,RIW
RJAM,MUS,47991,Minamitorishima,,JP,24.30,153.97,9,2,RJAM
RJAO,,47971,Chichijima Island,,JP,27.08,142.18,8,2,RJAO
RJNH,,47681,Hamamatsu,,JP,34.73,137.67,48,2,RJNH
RJSM,MSJ,47580,Misawa,,JP,40.68,141.38,39,2,RJSM
RKJJ,KWJ,47158,Kwangju,,KO,35.12,126.82,13,2,RKJJ
RKSO,OSN,47122,Osan,,KO,37.10,127.03,12,2,RKSO
KRNK,RNK,72318,Blacksburg,VA,US,37.2,-80.4,648,2,RNK
ROIG,ISG,47918,Ishigakijima Island,,JP,24.33,124.17,7,2,ROIG
ROMD,MMD,47945,Minamidaito Island,,JP,25.83,131.23,20,2,ROMD
RPLI,LAO,98223,Laoag,,PH,18.18,120.53,5,2,RPLI
RPMD,DVO,98753,Davao City,,PH,7.12,125.65,18,2,RPMD
RPLP,LGP,98444,Legazpi City,,PH,13.13,123.73,17,2,RPMP
RPVM,CEB,98646,Mactan,,PH,10.30,123.97,24,2,RPMT
RPUB,BAG,98328,Baguio City,,PH,16.37,120.62,1501,2,RPUB
RPVP,PPS,98618,Puerto Princesa,,PH,9.74,118.76,15,2,RPVP
SAEZ,EZE,87576,Buenos Aires,,AR,-34.82,-58.53,20,2,SAEZ
SAME,MDZ,87418,Mendoza,,AR,-32.83,-68.78,704,2,SAME
SARE,RES,87155,Resistencia,,AR,-27.45,-59.05,52,2,SARE
SBAT,AFL,82965,Alta Floresta,,BR,-9.87,-56.10,288,2,SBAT
SBBE,BEL,82193,Belem,,BR,-1.38,-48.48,16,2,SBBE
SBCT,CWB,83840,Curitiba,,BR,-25.52,-49.17,908,2,SBCT
SBFI,IGU,83827,Foz Do Iguacu,,BR,-25.52,-54.58,243,2,SBFI
SBFN,FEN,82400,Fernando De Noronha,,BR,-3.85,-32.42,56,2,SBFN
SBGL,GIG,83746,Rio De Janeiro,,BR,-22.82,-43.25,6,2,SBGL
SBMN,PLL,82332,Manaus,,BR,-3.15,-59.98,84,2,SBMN
SBMT,SAO,83779,Sao Paulo,,BR,-23.52,-46.63,722,2,SBMT
SBNT,NAT,82599,Natal,,BR,-5.92,-35.25,52,2,SBNT
SBPA,POA,83971,Porto Alegre,,BR,-30.00,-51.18,3,2,SBPA
SBPV,PVH,82824,Porto Velho,,BR,-8.77,-63.92,88,2,SBPV
SBVH,BVH,83208,Vilhena,,BR,-12.73,-60.13,652,2,SBVH
SCIP,IPC,85469,Easter Island,,CL,-27.15,-109.42,47,2,SCIP
SCSN,,85586,Valparaiso,,CL,-33.65,-71.62,75,2,SCSN
KSGF,SGF,72440,Springfield,MO,US,37.23,-93.4,390,2,SGF
KSHV,SHV,72248,Shreveport,LA,US,32.45,-93.83,83,2,SHV
KSLC,SLC,72572,Salt Lake City,UT,US,40.79,-111.97,1286,2,SLC
KSLE,SLE,72694,Salem,OR,US,44.93,-123.02,59,2,SLE
SOCA,CAY,81405,Cayenne,,GF,4.83,-52.37,9,2,SOCA
KTBW,TBW,72210,Tampa,FL,US,27.7,-82.4,12,2,TBW
KTFX,TFX,72776,Great Falls,MT,US,47.4666666667,-111.383333333,1132,2,TFX
KTLH,TLH,72214,Tallahassee,FL,US,30.4,-84.35,19,2,TLH
KTOP,TOP,72456,Topeka,KS,US,39.08,-95.62,268,2,TOP
UATT,AKX,35229,Aktyubinsk,,RU,50.28,57.15,224,2,UATT
UEEE,YKS,24959,Yakutsk,,RU,62.08,129.75,103,2,UEEE
UHMM,GDX,25913,Magadan,,RU,59.58,150.78,118,2,UHMM
UHPP,PKC,32540,Petropavlovsk-Kamchatskiy,,RU,52.97,158.75,24,2,UHPP
UHSS,UUS,32150,Yuzno-Sahalinsk,,RU,46.92,142.73,31,2,UHSS
