%TITLE%
 CVS 030605/0000

 LEVEL     HGHT     TEMP     DWPT     WDIR     WSPD
 __________________________________________________
 %RAW%
 853.90,1387.30,24.54,13.60,138.49,22.57
 852.20,1404.80,23.94,12.77,139.11,24.93
 848.60,1441.90,23.94,11.89,139.40,26.86
 843.30,1496.70,23.74,10.97,139.99,28.40
 836.30,1569.50,23.64,10.74,142.75,29.53
 825.60,1682.00,23.34,9.08,144.89,30.39
 815.00,1794.50,22.64,7.98,148.18,31.32
 804.40,1908.30,21.94,6.74,149.82,31.68
 793.80,2023.20,21.04,4.88,151.72,31.98
 783.20,2139.30,19.94,4.81,153.75,31.19
 772.60,2256.40,18.74,4.66,155.40,30.34
 762.00,2374.70,17.64,3.96,158.88,30.19
 751.40,2494.20,16.54,3.68,162.87,29.68
 740.80,2614.90,15.34,2.76,167.30,28.28
 730.20,2736.80,14.34,0.54,169.54,25.68
 719.60,2860.00,13.44,-3.69,175.19,20.86
 709.00,2984.70,12.84,-9.84,184.04,16.55
 698.40,3110.70,11.64,-9.74,191.00,14.25
 687.70,3239.40,10.54,-8.73,198.14,11.86
 677.10,3368.30,9.44,-7.33,211.76,9.60
 666.50,3498.90,8.54,-6.25,234.46,8.35
 655.90,3631.20,7.54,-5.38,259.11,10.29
 645.30,3765.00,6.24,-5.90,275.79,13.47
 634.70,3900.50,5.14,-6.64,285.95,19.80
 624.10,4038.00,5.04,-8.86,289.95,25.62
 613.50,4177.60,4.64,-10.40,292.09,28.93
 602.90,4319.40,3.74,-12.32,293.67,30.97
 592.30,4463.00,2.34,-11.62,292.88,32.47
 581.70,4608.50,0.84,-10.76,292.18,32.93
 568.90,4786.70,-0.76,-12.07,291.87,31.81
 459.50,6445.50,-15.56,-19.07,296.43,36.23
 398.50,7504.00,-23.36,-31.39,293.74,35.23
 359.70,8245.90,-28.26,-43.79,282.25,30.21
 327.00,8923.00,-32.66,-47.55,276.51,29.13
 300.60,9511.20,-36.26,-44.64,273.16,31.71
 268.80,10277.80,-41.66,-48.75,271.49,37.31
 232.70,11239.50,-49.06,-55.39,274.06,35.64
 204.60,12072.20,-55.16,-67.92,278.43,31.81
 183.40,12762.30,-60.06,-73.49,281.97,29.98
 176.60,12997.80,-60.46,-9999.00,279.64,30.15
 170.10,13231.00,-60.96,-9999.00,276.77,31.30
 163.80,13465.10,-61.46,-9999.00,273.75,32.70
 155.50,13786.70,-62.26,-9999.00,272.73,32.67
 143.40,14285.20,-63.56,-9999.00,269.42,38.46
 133.70,14714.60,-63.86,-9999.00,272.81,39.67
 115.80,15592.20,-65.26,-9999.00,262.60,34.67
 102.60,16330.10,-64.46,-9999.00,261.43,43.02
 90.20,17123.60,-60.96,-78.12,259.85,26.44
 68.70,18803.60,-63.76,-79.84,49.64,5.10
 42.70,21674.50,-70.06,-9999.00,6.12,5.47
 %END%


----- Note -----
Old Title:  MRF     030912/0000

